"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
2024,1,1,0,0,0,0,0,0,0,8.6,24,35.4,43,45,43.8,39.3,29.5,12.2,0,0,0,0,0,0,0,0
2024,1,2,0,0,0,0,0,0,0,8.6,23.1,34.4,41,43.6,43,38.6,29.2,12.8,0,0,0,0,0,0,0,0
2024,1,3,0,0,0,0,0,0,0,8.6,23.5,34.2,40.9,43.7,43.7,39.5,29.7,13.5,0,0,0,0,0,0,0,0
2024,1,4,0,0,0,0,0,0,0,8.5,23.4,35.2,42.7,45.3,44.7,40.1,30,14.3,0,0,0,0,0,0,0,0
2024,1,5,0,0,0,0,0,0,0,8.5,24,34.8,42.6,45.7,44.9,40.4,31.3,14.5,0,0,0,0,0,0,0,0
2024,1,6,0,0,0,0,0,0,0,8.6,24.1,35.5,42.5,45.7,45.8,41.1,31.4,15.2,0,0,0,0,0,0,0,0
2024,1,7,0,0,0,0,0,0,0,8.6,24.3,35.3,41.6,43.7,44.8,40.8,31.6,14.9,0,0,0,0,0,0,0,0
2024,1,8,0,0,0,0,0,0,0,8.6,24.5,36.1,43.2,46.9,46.4,41.5,31.1,14.7,0,0,0,0,0,0,0,0
2024,1,9,0,0,0,0,0,0,0,8.8,24.2,36.2,43.1,46,45.2,40.8,32.3,15.9,0,0,0,0,0,0,0,0
2024,1,10,0,0,0,0,0,0,0,8.8,24.1,35.5,42.8,45.4,46.3,42.1,32.5,16.3,0,0,0,0,0,0,0,0
2024,1,11,0,0,0,0,0,0,0,8.9,24.2,36.9,44.9,46.7,48,43.1,32.2,15.2,0,0,0,0,0,0,0,0
2024,1,12,0,0,0,0,0,0,0,9,24.8,37.4,44.7,48.6,48.1,43.9,34.3,17.9,0,0,0,0,0,0,0,0
2024,1,13,0,0,0,0,0,0,0,9.2,25.6,37.9,45.9,48.1,48,42.7,34,17.4,0,0,0,0,0,0,0,0
2024,1,14,0,0,0,0,0,0,0,8.5,24.6,36.5,43.2,47.4,47,42.8,33.4,17.4,0,0,0,0,0,0,0,0
2024,1,15,0,0,0,0,0,0,0,8.9,25.3,37.9,45.4,49.1,48.4,44,33.9,18,0,0,0,0,0,0,0,0
2024,1,16,0,0,0,0,0,0,0,9.1,25.5,38.1,45.8,49.2,47.8,43.3,34.5,17.6,0,0,0,0,0,0,0,0
2024,1,17,0,0,0,0,0,0,0,9.3,25.6,37.3,44.4,47.7,48.2,43.8,35.1,19.2,0,0,0,0,0,0,0,0
2024,1,18,0,0,0,0,0,0,0,9.4,25.7,37.7,44.5,46.9,46.9,42.8,34.7,18.3,0,0,0,0,0,0,0,0
2024,1,19,0,0,0,0,0,0,0,9.2,25.7,38.8,47.3,50.9,50.5,46.1,35.6,19.5,0,0,0,0,0,0,0,0
2024,1,20,0,0,0,0,0,0,0,9.4,26.2,39.4,47.2,50.5,50.3,45.4,36.6,19.7,0,0,0,0,0,0,0,0
2024,1,21,0,0,0,0,0,0,0,9.3,25.5,38.4,46.2,48.6,47.6,44.4,36.1,19.1,0,0,0,0,0,0,0,0
2024,1,22,0,0,0,0,0,0,0,9.8,25.8,38.6,44.4,49.7,50.3,45.7,35.6,19.1,0,0,0,0,0,0,0,0
2024,1,23,0,0,0,0,0,0,0,10,26,38.9,46.4,50.1,49.7,44.9,36.1,19.1,0,0,0,0,0,0,0,0
2024,1,24,0,0,0,0,0,0,0,10.1,26.2,39.2,46.7,50.8,50.3,45.1,36.4,20.2,0,0,0,0,0,0,0,0
2024,1,25,0,0,0,0,0,0,0,10.2,26,37.4,43.7,47.7,46.4,44.1,36.2,20.4,0,0,0,0,0,0,0,0
2024,1,26,0,0,0,0,0,0,0,9.8,26.3,39.3,46.6,49.4,48.6,42.9,36.2,21.3,0.1,0,0,0,0,0,0,0
2024,1,27,0,0,0,0,0,0,0,9.8,25.7,38.2,46.2,49.9,49.9,45.7,36.8,21.8,0.2,0,0,0,0,0,0,0
2024,1,28,0,0,0,0,0,0,0,10.1,26.3,39.8,47.6,51.2,51,46.4,37.2,20.7,0,0,0,0,0,0,0,0
2024,1,29,0,0,0,0,0,0,0,10.3,26.8,39.3,46.4,50.2,50.6,46.3,37.5,21.4,0.1,0,0,0,0,0,0,0
2024,1,30,0,0,0,0,0,0,0,10.4,26.8,39.4,46.8,49.7,49.6,45.4,37.1,20.8,0.1,0,0,0,0,0,0,0
2024,1,31,0,0,0,0,0,0,0,10.2,25.9,38.3,44.3,46.2,45.7,42.9,37.3,21.5,0.2,0,0,0,0,0,0,0
2024,2,1,0,0,0,0,0,0,0,10.5,27.3,39.6,45.3,47.9,48.3,44.5,36,21.2,0.2,0,0,0,0,0,0,0
2024,2,2,0,0,0,0,0,0,0,10.7,26.2,38.6,46.3,50.3,49.9,45.2,36.9,21.6,0.3,0,0,0,0,0,0,0
2024,2,3,0,0,0,0,0,0,0,10.3,26,38.9,48.1,51.7,49.1,43.8,37.4,22,0.4,0,0,0,0,0,0,0
2024,2,4,0,0,0,0,0,0,0,10.8,27,39.3,45.8,48,48,44.5,36.3,21.3,0.3,0,0,0,0,0,0,0
2024,2,5,0,0,0,0,0,0,0,10.5,26.8,39.2,46.6,50.2,49.3,45.9,36.8,22.1,0.6,0,0,0,0,0,0,0
2024,2,6,0,0,0,0,0,0,0,10.8,26.7,38.9,45.6,48.7,48.7,45.2,37.7,22.8,0.8,0,0,0,0,0,0,0
2024,2,7,0,0,0,0,0,0,0,11.4,28,39.9,46.5,49.9,50.1,45.9,37.9,23.5,1,0,0,0,0,0,0,0
2024,2,8,0,0,0,0,0,0,0,11.5,27.7,39.3,46.9,49.7,49.1,45.6,38.4,23.5,1.1,0,0,0,0,0,0,0
2024,2,9,0,0,0,0,0,0,0,11.4,26.8,39.1,46,49.1,48.8,45,37.8,22.9,1.2,0,0,0,0,0,0,0
2024,2,10,0,0,0,0,0,0,0,11.5,27.5,39.7,46.5,49,48.6,45.1,37.1,23.3,1.5,0,0,0,0,0,0,0
2024,2,11,0,0,0,0,0,0,0,11.9,27.9,38.4,46.9,51.2,51.5,48.1,38.9,25.1,2,0,0,0,0,0,0,0
