GEN_ID,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,PMAX,PMIN,PC2,PC1,QC1MIN,QC2MIN,QC1MAX,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,APF,RAMP_Q
97,101,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
98,101,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
99,101,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
100,101,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
101,102,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
102,102,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
103,103,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
104,104,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
105,113,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
106,118,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
107,118,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
108,118,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
109,118,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
110,118,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
111,118,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
112,118,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
113,118,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
114,118,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
