,GEN_ID,SIMULATION_NAME,PARAMETER_NAME,DATA_FILE
0,15,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,12
1,16,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,12
2,17,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,155
3,18,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,155
4,19,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,355
5,20,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,400
6,41,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,55
7,42,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,55
8,43,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,55
9,44,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,355
10,45,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,0
11,46,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,50
12,50,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,55
13,56,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,50
14,57,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,50
15,58,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,50
16,77,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,0
17,78,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,12
18,79,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,12
19,80,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,12
20,97,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
21,98,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
22,99,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
23,100,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
24,101,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
25,102,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
26,103,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
27,104,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
28,105,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
29,106,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
30,107,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
31,108,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
32,109,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
33,110,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
34,111,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
35,112,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
36,113,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
37,114,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
38,115,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
39,116,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
40,117,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_wind.csv
41,118,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
42,119,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_pv.csv
43,120,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_wind.csv
44,121,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv
45,122,DAY_AHEAD,MAX_REAL_POWER_OUTPUT_MW,timeseries_data_files\wind_pv_rtpv\*_wind.csv
